Price,Close,High,Low,Open,Volume
Ticker,BLK,BLK,BLK,BLK,BLK
Date,,,,,
2016-01-15,232.31993103027344,234.95977241703616,227.52595669652595,234.18425969458127,1972600
2016-01-19,230.29901123046875,236.3776594487076,227.54169834138457,235.31231825850068,1070400
2016-01-20,228.73231506347656,230.41646945154235,219.76317876341037,226.1238371942827,1685900
2016-01-21,227.08731079101562,232.5628025066216,226.7583256525074,229.351145452891,1100300
2016-01-22,235.4375457763672,236.4793875451222,231.07439410940327,231.74022905927094,780600
2016-01-25,226.94630432128906,235.73526538987326,226.53898144249823,235.04593136012898,1010500
2016-01-26,234.4192352294922,235.3357175194086,228.1604151632644,229.09257934535526,1066100
2016-01-27,236.6596221923828,243.6155954301613,232.94664616897313,234.21563676404577,1147300
2016-01-28,234.3488006591797,241.11675810111203,233.46363410792003,237.04343333781577,1023800
2016-01-29,246.16920471191406,246.23186057098104,236.48723697124544,237.63873261237367,986500
2016-02-01,244.59469604492188,246.3571878498893,240.23154392823565,244.32836681858802,754900
2016-02-02,235.94671630859375,239.5578784124792,233.44789282192843,239.5578784124792,1061300
2016-02-03,238.17918395996094,240.41167798570152,227.22041107176096,236.33053767401105,1372000
2016-02-04,245.7305145263672,247.5321631134816,236.76138069952475,236.76138069952475,1037600
2016-02-05,241.0697021484375,246.8820187267034,239.97304540876206,244.422352127059,1057600
2016-02-08,229.8758544921875,236.06415238735528,226.67203989933373,236.06415238735528,1162100
2016-02-09,230.714111328125,233.12675645041458,224.43963235326657,224.81563924084145,878800
2016-02-10,233.87095642089844,239.48744192333362,232.750800480737,234.44279581320288,711700
2016-02-11,230.46340942382812,232.82908026408813,226.38226864452304,226.75043453590183,1266300
2016-02-12,240.3255157470703,240.8738560383925,232.6802349785118,235.1398775329816,941700
2016-02-16,246.33370971679688,247.25803309306656,242.3073832900047,244.42238319669488,764600
2016-02-17,250.57151794433594,251.6603338386447,248.30768354929256,249.75684833136145,888100
2016-02-18,247.50865173339844,250.70462594516061,246.07516910073764,250.28946221829628,660800
2016-02-19,246.19264221191406,246.3962916320571,240.94432485134058,245.2369792386709,835300
2016-02-22,247.88470458984375,252.0128436938205,244.59471013557732,246.19270949096327,817400
2016-02-23,242.72262573242188,248.64462260845386,240.02015153768923,246.74895346349808,758700
2016-02-24,241.24990844726562,244.29704878739895,233.3461140258237,238.51607132520277,845000
2016-02-25,245.66787719726562,245.7697138916189,238.0304119846974,242.5110591989505,608600
2016-02-26,245.90284729003906,249.54532527843287,244.33618803435803,248.00216495537413,678200
2016-02-29,244.36752319335938,247.2423536715842,243.6860301884846,244.86886566909368,870100
2016-03-01,252.67872619628906,253.03905124911856,246.06742006873395,246.9604037049342,832300
2016-03-02,255.9373321533203,256.3289970196433,249.41218209339704,250.74385220102565,1051400
2016-03-03,254.9117889404297,256.3553896389712,252.77396472243782,255.16420540543774,837700
2016-03-04,255.40093994140625,257.06542050045294,252.98703387175604,255.02227904014435,671700
2016-03-07,257.7438049316406,258.63519501696373,250.7229434272441,252.84497520029865,682400
2016-03-08,252.75038146972656,256.37913714879903,249.8710513596372,255.03806741716485,674500
2016-03-09,258.990234375,259.0217954681844,253.22367839114517,255.51926042058764,1179000
2016-03-10,256.37109375,260.32328219243533,252.43469788357362,260.1418360866739,688300
2016-03-11,267.9358825683594,268.36187305467803,257.6807183228678,260.3234000778641,905900
2016-03-14,266.4923095703125,267.352162850787,263.64451652758294,266.2083078582494,631300
2016-03-15,263.58135986328125,263.73911715799744,260.63103604486906,262.7925011675298,627100
2016-03-16,263.5340270996094,264.6620892432003,259.99993151846456,262.8082665156571,674500
2016-03-17,269.742431640625,271.9433548547328,262.4297178312537,263.66033586893303,864400
2016-03-18,270.2314453125,273.70241891854624,267.9200950054754,271.5330574055101,763600
2016-03-21,269.77392578125,272.8031405124578,267.45467911494023,270.39710686456186,684600
2016-03-22,268.3854675292969,270.4443768712239,265.9794584856265,265.9794584856265,490100
2016-03-23,267.60455322265625,269.6792314415711,266.08203759125144,268.98505598766224,466500
2016-03-24,263.69964599609375,266.5316454183926,261.68806624033283,265.4272482176993,662300
2016-03-28,265.7743225097656,267.1390563936753,263.64439491102473,265.0564583794352,444600
2016-03-29,268.1410217285156,268.5512196747702,261.9011451700643,265.2458990793796,635000
2016-03-30,269.292724609375,272.085291501129,268.85096560745524,271.07555320044673,463100
2016-03-31,268.6617431640625,271.5253054817567,268.15686179634986,268.48029690865286,511500
2016-04-01,270.207763671875,271.80914583508775,264.32288463858845,266.05835929641313,717200
2016-04-04,267.04449462890625,270.8073668268054,265.24589737754195,269.7897321490147,553100
2016-04-05,264.1098327636719,265.5771221843641,261.46717588188176,264.9933745613851,523900
2016-04-06,266.003173828125,267.2101267240705,263.54981065523367,263.79435493601585,463500
2016-04-07,259.03753662109375,264.95397708017066,257.90157812702637,263.7706889883553,529800
2016-04-08,261.5855712890625,264.45700467515456,260.9544698326265,262.48485776265267,360500
2016-04-11,262.6584777832031,265.9716951104523,262.5164889453664,264.1967624152971,434400
2016-04-12,267.6676940917969,268.10945312125176,262.1614506598649,263.5104166247954,559600
2016-04-13,274.7515869140625,275.0118996768922,269.33213182138024,270.5785179001727,959400
2016-04-14,279.97381591796875,280.99145027924874,269.7896482374295,270.5785068580068,833300
2016-04-15,282.2063293457031,282.6559846234442,278.93257025724716,279.5873365193739,1108100
2016-04-18,282.41143798828125,283.55529282763393,276.9288599396114,278.4671441616293,842000
2016-04-19,287.6652526855469,288.9668648897786,284.9358079802889,285.2040170832047,834200
